"id","organization_id","student_id","eventdate","care_type","entrytime","exittime","breaktime","worktime","status","comment","created_at","updated_at","deleted_at"
75,1,17,2022-04-15,,"17:02:19","17:42:54",,,"1",,2022-04-15 17:02:11.000,2022-04-15 17:42:54.000,
76,1,44,2022-04-15,,"17:54:50","18:40:42",,,"1",,2022-04-15 17:54:32.000,2022-04-15 18:40:42.000,
77,1,43,2022-04-15,,"17:55:02","18:40:32",,,"1",,2022-04-15 17:54:37.000,2022-04-15 18:40:32.000,
78,1,47,2022-04-16,,"11:12:07","17:26:46",,,"1",,2022-04-16 11:12:07.000,2022-04-16 17:26:46.000,
79,1,39,2022-04-16,,"12:55:04","13:59:40",,,"1",,2022-04-16 12:55:16.000,2022-04-16 14:38:01.000,
80,1,32,2022-04-16,,"16:01:01","16:50:02",,,"1",,2022-04-16 16:01:01.000,2022-04-16 16:50:02.000,
81,1,47,2022-04-18,,"09:20:58","18:09:12",,,"1",,2022-04-18 09:20:58.000,2022-04-18 18:09:12.000,
82,1,4,2022-04-18,,"16:46:57","17:31:50",,,"1",,2022-04-18 16:46:57.000,2022-04-18 17:31:50.000,
83,1,2,2022-04-18,,"16:51:50","17:36:10",,,"1",,2022-04-18 16:51:50.000,2022-04-18 17:36:10.000,
84,1,7,2022-04-18,,"16:51:59","17:36:06",,,"1",,2022-04-18 16:51:59.000,2022-04-18 17:36:06.000,
85,1,15,2022-04-18,,"17:02:43","17:34:56",,,"1",,2022-04-18 17:02:43.000,2022-04-18 17:34:56.000,
86,1,47,2022-04-19,,"13:24:10","18:51:15",,,"1",,2022-04-19 13:24:10.000,2022-04-19 18:51:15.000,
87,1,42,2022-04-19,,"16:55:18","17:41:22",,,"1",,2022-04-19 16:55:18.000,2022-04-19 17:41:22.000,
88,1,45,2022-04-19,,"16:58:52","17:41:35",,,"1",,2022-04-19 16:58:52.000,2022-04-19 17:41:35.000,
89,1,36,2022-04-19,,"17:44:03","18:33:34",,,"1",,2022-04-19 17:44:03.000,2022-04-19 18:33:34.000,
90,1,47,2022-04-20,,"12:03:02","18:57:10",,,"1",,2022-04-20 12:03:02.000,2022-04-20 18:57:10.000,
91,1,30,2022-04-20,,"15:56:52","16:42:06",,,"1",,2022-04-20 15:56:52.000,2022-04-20 16:42:06.000,
92,1,23,2022-04-20,,"15:56:57","16:42:03",,,"1",,2022-04-20 15:56:57.000,2022-04-20 16:42:03.000,
93,1,31,2022-04-20,,"17:54:49","18:43:36",,,"1",,2022-04-20 17:54:49.000,2022-04-20 18:43:36.000,
94,1,47,2022-04-21,,"13:54:08","19:32:07",,,"1",,2022-04-21 13:54:08.000,2022-04-21 19:32:07.000,
95,1,3,2022-04-21,,"15:54:35","16:38:04",,,"1",,2022-04-21 15:54:35.000,2022-04-21 16:38:04.000,
96,1,9,2022-04-21,,"17:00:24","17:43:30",,,"1",,2022-04-21 17:00:24.000,2022-04-21 17:43:30.000,
97,1,10,2022-04-21,,"17:58:09","18:40:58",,,"1",,2022-04-21 17:58:09.000,2022-04-21 18:40:58.000,
98,1,47,2022-04-22,,"10:27:55","18:07:24",,,"1",,2022-04-22 10:27:55.000,2022-04-22 18:07:24.000,
99,1,16,2022-04-22,,"16:59:36","17:41:58",,,"1",,2022-04-22 16:59:36.000,2022-04-22 17:41:58.000,
100,1,17,2022-04-22,,"16:59:41","17:41:55",,,"1",,2022-04-22 16:59:41.000,2022-04-22 17:41:55.000,
101,1,47,2022-04-23,,"10:30:32","16:54:48",,,"1",,2022-04-23 10:30:32.000,2022-04-23 16:54:48.000,
102,1,43,2022-04-23,,"12:22:09",,,,"1",,2022-04-23 12:22:09.000,2022-04-23 12:22:09.000,
