"id","organization_id","stuff_id","eventdate","care_type","entrytime","exittime","breaktime","worktime","status","comment","created_at","updated_at","deleted_at"
66,1,1,2022-07-16,,"12:33:02","16:37:23",,,"1",,2022-07-16 12:33:02.000,2022-07-16 16:37:23.000,
67,1,1,2022-07-19,,"12:54:34","20:16:58",,,"1",,2022-07-19 12:54:34.000,2022-07-19 20:16:58.000,
68,1,1,2022-07-20,,"07:47:22",,,,"1",,2022-07-20 07:47:22.000,2022-07-20 07:47:22.000,
69,1,1,2022-07-21,,"11:35:23","19:04:33",,,"1",,2022-07-21 11:35:23.000,2022-07-21 19:04:33.000,
70,1,1,2022-07-22,,"09:04:45","18:50:25",,,"1",,2022-07-22 09:04:45.000,2022-07-22 18:50:25.000,
71,1,3,2022-07-26,,"09:45:26",,,,"1",,2022-07-26 09:45:26.000,2022-07-26 09:45:26.000,
72,1,1,2022-07-27,,"09:03:44","18:29:30",,,"1",,2022-07-27 09:03:44.000,2022-07-27 18:29:30.000,
73,1,1,2022-07-28,,"10:59:50","16:01:32",,,"1",,2022-07-28 10:59:50.000,2022-07-28 16:01:32.000,
74,1,3,2022-07-29,,"09:43:01",,,,"1",,2022-07-29 09:43:01.000,2022-07-29 09:43:01.000,
75,1,1,2022-07-29,,"10:07:47","17:10:41",,,"1",,2022-07-29 10:07:47.000,2022-07-29 17:10:41.000,
76,1,1,2022-08-01,,"09:52:27","19:45:57",,,"1",,2022-08-01 09:52:27.000,2022-08-01 19:45:57.000,
77,1,1,2022-08-02,,"09:50:33","18:55:02",,,"1",,2022-08-02 09:50:33.000,2022-08-02 18:55:02.000,
78,1,1,2022-08-03,,"09:38:19","16:43:55",,,"1",,2022-08-03 09:38:19.000,2022-08-03 16:43:55.000,
79,1,2,2022-08-04,,"10:06:15",,,,"1",,2022-08-04 10:06:15.000,2022-08-04 10:06:15.000,
80,1,1,2022-08-04,,"11:25:03","18:58:19",,,"1",,2022-08-04 11:25:03.000,2022-08-04 18:58:19.000,
81,1,1,2022-08-05,,"09:48:36","21:38:23",,,"1",,2022-08-05 09:48:36.000,2022-08-05 21:38:23.000,
82,1,3,2022-08-05,,"09:50:02",,,,"1",,2022-08-05 09:50:02.000,2022-08-05 09:50:02.000,
83,1,1,2022-08-06,,"09:38:22","18:48:37",,,"1",,2022-08-06 09:38:22.000,2022-08-06 18:48:37.000,
84,1,1,2022-08-08,,"08:50:35","19:49:20",,,"1",,2022-08-08 08:50:35.000,2022-08-08 19:49:20.000,
85,1,1,2022-08-09,,"08:15:16","18:52:23",,,"1",,2022-08-09 08:15:16.000,2022-08-09 18:52:23.000,
86,1,3,2022-08-09,,"09:51:56",,,,"1",,2022-08-09 09:51:56.000,2022-08-09 09:51:56.000,
87,1,1,2022-08-10,,"08:13:15",,,,"1",,2022-08-10 08:13:15.000,2022-08-10 08:13:15.000,
